,zh
0,  “只要胡同存在一天，它便是个有机体，有生命、有感情，他会思念远人，远人也会思念它
1,”展览结语中，学者邓云乡的话令人回味悠长
2,（记者董素玉 丁静 郭宇靖）
3,  为此，有关部门将开展规划实施监督，强化对严守空间安全底线等的监督检查，坚决维护规划的权威性和严肃性；健全国土空间规划实施监测评估预警机制和优化调整机制，加强规划定期体检和五年评估，根据体检评估结果，结合国民经济和社会发展规划，适时对规划进行优化调整，积极适应经济社会发展的新需求
4,  自然资源部有关负责人强调，要强化规划权威
5,规划一经批复，任何部门和个人不得随意修改、违规变更，防止出现换一届党委和政府改一次规划
6,下级国土空间规划要服从上级国土空间规划，相关专项规划、详细规划要服从总体规划；坚持先规划、后实施，不得违反国土空间规划进行各类开发建设活动；坚持“多规合一”，不在国土空间规划体系之外另设其他空间规划
7,  此外，规划将统筹农业、生态、城镇空间，完善城镇体系和村庄布局，完善城市功能结构和空间布局，协调产业布局、综合交通、设施配置和土地使用，统筹水利、能源、环境、通信、国防等基础设施以及城乡公共服务设施布局等
8,加强规划与土地政策融合，统筹增量和存量空间，大力盘活存量空间，科学有序推进低效用地再开发和土地综合整治，加强地上地下空间一体化规划和利用，推动土地利用提质增效，为城市转型发展和有机更新提供新动能
9,  据介绍，本轮规划将严格落实国家和省级国土空间规划下达的耕地和永久基本农田、生态保护红线、城镇开发边界三条控制线，将其作为调整经济结构、规划产业发展、推进城镇化不可逾越的红线
10,同时加强区域协同，发挥超大特大城市的区域发展引擎作用，引领形成多中心、网络化、开放式、集约型的区域发展格局，促进形成以城市群、都市圈为主要形态的新型城镇化格局，构建支撑新发展格局的主体功能明显、优势互补、高质量发展的国土空间体系
11,  自然资源部有关负责人称，本轮规划落实要加快超大特大城市转变发展方式的要求，发挥源头治理和系统治理作用，全面贯彻新发展理念，坚持以人民为中心，统筹发展和安全，促进人与自然和谐共生，整体谋划国土空间开发保护格局，推进超大特大城市治理体系和治理能力现代化，为推进中国式现代化提供坚实支撑
12,  在全国范围编制国土空间规划的原因是，各级各类空间规划在支撑城镇化快速发展、促进国土空间合理利用和有效保护方面发挥了积极作用，但也存在规划类型过多、内容重叠冲突，审批流程复杂、周期过长，地方规划朝令夕改等问题
13,为此，我国将主体功能区规划、土地利用规划、城乡规划等空间规划融合为统一的国土空间规划，实现“多规合一”
14,
15,　　此外，在复杂服务收费方面，立项指南设置复杂加收项价格项目
16,以拔牙为例，以往是按牙位收费，但同一牙位常常病情复杂程度不同，价格上“一刀切”无法充分反映复杂情形的临床价值
17,立项指南对于相同牙位的拔牙价格按照技术难度、劳动强度等设置复杂加收项价格项目，让复杂服务收费更清晰
18,　　在耗材收费方面，立项指南推广个性化耗材收费“一口价”模式
19,此前口腔矫治器、保持器、运动护齿等个性化产品按制作步骤，拆分收费，名目繁多，消费体验差
20,此次指南借鉴牙冠收费“一口价”模式，医疗机构自行制作或委托加工的成本费用合并计入“一口价”，支持医疗机构可根据患者个人需求，提供个性化服务
21,　　在口腔正畸矫治方面，立项指南将正畸矫治分阶段、分难易程度设置价格项目，让医院收费更清楚，让患者付费更明白
22,此外，在各地对接落实口腔类立项指南过程中，国家医保局鼓励有关省份加大集采产品使用力度，倡导相关企业结合正畸产品集采的价格，进一步压缩流通环节加价，适当降低正畸治疗的经济门槛，进一步提高正畸矫治的可及性
23,
24,  中央驻港机构、香港特区政府、驻港中资机构及香港各界代表参加了当天的开通仪式
25,  同日，“国社之镜·世纪光影”新华社新闻摄影展在香港举行
26,这些新华社摄影精品生动展现了新中国成立以来的历史变迁和伟大成就
27,开通仪式后，嘉宾们共同参观了摄影展
28,  新华社客户端是海内外受众了解中国故事的“掌上门户”
29,此次上线开通的新华社客户端亚太频道，设有焦点、港澳、镜观、访谈等栏目，向广大受众提供高质量新闻信息服务，深入阐释中国理念、中国主张、中国方案，向受众展示真实、立体、全面的中国
30,  中央人民政府驻香港特别行政区联络办公室秘书长王松苗表示，新华社是国家通讯社和具有全球影响力的世界级媒体，长期以来赢得了国内外受众的广泛赞誉
